sample_id,nitrogen_weight_perc,plot,spp
12-3,1.7,12,TSHE
18-3,1.96,18,TSHE
22-19,1.16,22,TSHE
5-2,2.8,5,TSHE
31-2,1.36,31,TSHE
32-2,1.46,32,TSHE
37-3,1.3,37,TSHE
4-3,1.54,4,TSHE
15-2,1.01,15,TSHE
23-40,0.99,23,TSHE
31-3,1.31,31,TSHE
26-1,1.22,26,TSHE
15-1,1.14,15,TSHE
11-4,1.19,11,TSHE
2-1,0.71,2,TSHE
1-2,0.71,1,TSHE
10-13,1.22,10,TSHE
34-1,1.32,34,TSHE
42-2,1.42,42,TSHE
41-3,1.1,41,TSHE
8-2,2.05,8,TSHE
3-1,2.12,3,TSHE
5-1,2.48,5,TSHE
1-1,0.85,1,TSHE
10-14,1.23,10,TSHE
3-2,2.55,3,TSHE
14-3,2.02,14,TSHE
8-6,2.25,8,TSHE
32-3,1.42,32,TSHE
33-2,1.6,33,TSHE
9-4,2.02,9,TSHE
6-unk,2.49,6,TSHE
30-1,1.84,30,TSHE
39-2,1.5,39,TSHE
43-3,1.2,43,TSHE
40-3,1.21,40,TSHE
34-3,1.56,34,TSHE
38-4,1.19,38,TSHE
41-1,1.45,41,TSHE
44-4,1.26,44,TSHE
44-3,1.15,44,TSHE
3-20,2.51,3,TSHE
27-1,1.46,27,TSHE
39-3,1.65,39,TSHE
28-4,1.4,28,TSHE
6-F2,1.55,6,TSHE
38-3,1.54,38,TSHE
37-4,1.94,37,TSHE
12-4,2.41,12,TSHE
43-1,1.38,43,TSHE
40-1,1.22,40,TSHE
24-2,1.6,24,TSHE
42-1,1.46,42,TSHE
25-1,2.26,25,TSHE
9-1,2.59,9,PISI
13-1,1.71,13,PISI
14-2,1.76,14,PISI
2-2,2.31,2,TSHE
27-3,1.47,27,PISI
7-8,1.29,7,PISI
37-2,1.23,37,PISI
23-30,1.14,23,PISI
25-2,1.35,25,PISI
7-7,1.8,7,PISI
23-1,1.19,23,PISI
44-1,0.82,44,PISI
39-1,1.24,39,PISI
43-4,1.36,43,PISI
36-4,1.18,36,PISI
2-3,2.39,2,PISI
40-2,1.11,40,PISI
20-1,1.78,20,PISI
36-3,0.92,36,PISI
4-2,1.8,4,PISI
24-2,1.81,24,PISI
36-2,1.12,36,PISI
7-9,1.91,7,PISI
21-1,1.48,21,PISI
13-2,1.74,13,PISI
4-1,2.01,4,PISI
2-4,2.44,2,PISI
11-2,1.8,11,PISI
11-3,1.72,11,PISI
38-2,0.97,38,PISI
20-2,1.55,20,PISI
22-20,1.66,22,PISI
15-3,1.31,15,PISI
22-1,1.76,22,PISI
19-1,1.55,19,PISI
7-6,1.29,7,PISI
33-1,1.38,33,PISI
35-2,1.25,35,PISI
12-2,1.79,12,PISI
16-4,1.74,16,PISI
17-1,1.6,17,PISI
35-4,1.3,35,PISI
35-3,1.18,35,PISI
19-2,1.55,19,PISI
16-1,1.23,16,PISI
26-2,1.03,26,PISI
29-2,1.38,29,PISI
29-1,3.19,29,PISI
31-1,1.19,31,PISI
30-2,2.1,30,PISI
18-1,1.77,18,PISI
24-1,1.26,24,PISI