plot,spp,dbh_in,dbh_cm,percent_canopy,decay_class,field_height_m,field_height_ft,o1,o2,o_dist_m,broken,dead
32,UNK,7.1,18.1,0,5,3.048,10,,,,1,1
32,TSHE,7.0,17.8,95,,,,,,,,
32,TSHE,5.7,14.5,0,5,2.4384,8,,,,1,1
32,UNK,3.9,10.0,0,5,1.8288,6,,,,1,1
33,PISI,42.7,108.4,90,,,,,,,,
33,TSHE,26.0,66.0,0,5,5.486132277,18,,,,1,1
33,TSHE,24.9,63.3,0,5,,,,,,,1
33,TSHE,18.8,47.7,0,1,,,-20,44,5,1,1
33,TSHE,18.1,46.0,100,,,,,,,,
33,TSHE,15.5,39.4,100,,,,,,,,
33,TSHE,14.7,37.3,95,,,,,,,,
33,PISI,14.5,36.8,75,,,,,,,,
33,UNK,14.2,36.0,0,5,1.8288,6,,,,1,1
33,TSHE,13.8,35.0,100,,,,,,,,
33,TSHE,13.6,34.5,100,,,,,,,,
33,TSHE,13.6,34.5,100,,,,,,,,
33,UNK,12.8,32.4,0,5,3.6576,12,,,,1,1
33,TSHE,11.6,29.5,95,,,,,,,,
33,TSHE,11.5,29.3,95,,,,,,,,
33,TSHE,10.8,27.4,90,,,,,,,,
33,TSHE,10.7,27.2,95,,,,,,,,
33,TSHE,10.4,26.4,0,1,,,,,,,1
33,TSHE,10.0,25.4,0,1,,,-25,37,5,1,1
33,TSHE,9.5,24.1,95,,,,,,,,
33,TSHE,8.8,22.3,95,,,,,,,,
33,UNK,8.7,22.2,0,5,,,,,,,1
33,TSHE,8.7,22.0,95,,,,,,,,
33,UNK,8.3,21.2,0,5,1.8288,6,,,,1,1
33,TSHE,7.3,18.5,80,,,,,,,,
33,UNK,6.1,15.5,0,1,,,,,,,1
33,TSHE,5.8,14.7,95,,,,,,,,
33,UNK,5.1,13.0,0,5,,,,,,,1
33,TSHE,4.9,12.4,100,,,,,,,,
33,TSHE,4.8,12.3,0,1,,,,,,,1
33,PISI,4.8,12.1,90,,,,,,,,
33,UNK,4.3,10.8,0,1,,,-25,34,5,1,1
33,TSHE,4.3,10.8,95,,,,,,,,
33,TSHE,4.0,10.2,90,,,,,,,,
33,UNK,3.6,9.2,0,5,1.8288,6,,,,1,1
33,UNK,3.4,8.7,0,5,,,,,,,1
33,TSHE,3.1,8.0,0,1,,,,,,,1
33,TSHE,3.1,8.0,15,,,,,,,,
33,UNK,2.6,6.5,0,5,1.828710759,6,,,,1,1
33,TSHE,2.3,5.9,95,,,,,,,,
33,UNK,2.1,5.4,0,5,,,,,,,1
33,UNK,2.0,5.1,0,5,,,,,,,1
33,PISI,1.9,4.9,60,,,,,,,,
33,TSHE,1.0,2.5,90,,,,,,,,
34,PISI,46.1,117.0,100,,,,,,,,
34,TSHE,32.7,83.0,0,5,,,-19,46,5,1,1
34,TSHE,30.4,77.2,0,5,,,-5,69,5,1,1
34,UNK,23.9,60.8,0,5,1.8288,6,,,,1,1
34,TSHE,21.3,54.0,0,5,,,-11,43,5,1,1
34,TSHE,20.8,52.9,0,5,,,,,,,1
34,TSHE,20.6,52.2,95,,,,,,,,
34,TSHE,17.8,45.3,100,,,,,,,,
34,UNK,14.4,36.7,0,5,4.876562024,16,,,,,1
34,TSHE,13.9,35.2,95,,,,,,,,
34,TSHE,11.3,28.6,80,,,,,,,,
34,TSHE,10.8,27.5,95,,,,,,,,
34,TSHE,8.9,22.7,0,2,,,,,,,1
34,UNK,8.6,21.9,0,5,1.8288,6,,,,1,1
34,TSHE,8.6,21.9,95,,,,,,,,
34,TSHE,8.3,21.2,100,,,,,,,,
34,TSHE,7.6,19.2,95,,,,,,,,
34,TSHE,7.2,18.4,95,,,,,,,,
34,TSHE,7.0,17.8,95,,,,,,,,
34,TSHE,6.2,15.7,95,,,,,,,,
34,TSHE,5.7,14.5,95,,,,,,,,
34,UNK,5.6,14.2,0,5,,,,,,,1
34,TSHE,5.6,14.1,95,,,,,,,,
34,TSHE,4.4,11.2,90,,,,,,,,
34,TSHE,3.9,9.9,90,,,,,,,,
34,TSHE,3.1,8.0,95,,,,,,,,
34,UNK,2.8,7.2,0,5,,,,,,,1
34,TSHE,2.8,7.2,95,,,,,,,,
34,TSHE,2.7,6.9,30,,,,,,,,
34,TSHE,2.0,5.1,95,,,,,,,,
34,UNK,1.9,4.9,0,5,1.8288,6,,,,1,1
34,TSHE,1.9,4.9,0,1,,,,,,,1
34,TSHE,1.9,4.8,85,,,,,,,,
34,TSHE,1.6,4.0,0,1,,,,,,,1
34,TSHE,1.3,3.4,85,,,,,,,,
34,PISI,1.1,2.9,60,,,,,,,,
34,TSHE,1.1,2.9,85,,,,,,,,
34,TSHE,0.6,1.5,95,,,,,,,,
34,TSHE,0.2,0.5,85,,,,,,,,
35,TSHE,49.4,125.5,95,,,,,,,,
35,TSHE,46.0,116.8,95,,,,,,,,
35,TSHE,22.0,56.0,0,5,2.1336,7,,,,1,1
35,TSHE,20.2,51.3,100,,,,,,,,
35,TSHE,18.6,47.2,100,,,,,,,,
35,TSHE,18.5,47.0,100,,,,,,,,
35,TSHE,18.4,46.7,100,,,,,,,,
35,TSHE,16.9,42.9,80,,,,,,,,
35,UNK,10.9,27.8,0,5,2.1336,7,,,,1,1
35,PISI,7.6,19.2,0,5,,,,,,,1
35,UNK,3.9,9.8,0,5,1.8288,6,,,,1,1
35,PISI,1.6,4.0,0,5,,,,,,,1
35,PISI,1.6,4.0,85,,,,,,,,
35,PISI,1.5,3.9,70,,,,,,,,
35,PISI,1.1,2.8,90,,,,,,,,
35,PISI,0.7,1.7,80,,,,,,,,
36,TSHE,57.2,145.4,95,,,,,,,,
36,UNK,50.8,129.0,0,5,,,-12,44,5,1,1
36,TSHE,40.6,103.2,100,,,,,,,,
36,TSHE,36.1,91.6,95,,,,,,,,
36,TSHE,29.8,75.8,100,,,,,,,,
36,TSHE,29.5,75.0,100,,,,,,,,
36,TSHE,11.6,29.5,70,,,,,,,,
36,TSHE,8.5,21.6,100,,,,,,,,
36,TSHE,7.5,19.0,100,,,,,,,,
36,TSHE,6.4,16.2,95,,,,,,,,
36,TSHE,4.6,11.7,95,,,,,,,,
36,TSHE,4.4,11.2,90,,,,,,,,
36,TSHE,3.7,9.4,0,5,,,,,,,1
36,TSHE,2.8,7.0,70,,,,,,,,
36,TSHE,1.9,4.9,95,,,,,,,,
36,UNK,0.4,1.0,0,5,,,,,,,1
37,TSHE,57.4,145.7,80,,,,,,,,
37,TSHE,51.8,131.6,90,,,,,,,,
37,TSHE,51.7,131.2,100,,,,,,,,
37,TSHE,49.4,125.5,95,,,,,,,,
37,TSHE,41.6,105.6,95,,,,,,,,
37,TSHE,41.0,104.2,100,,,,,,,,
37,TSHE,37.3,94.7,95,,,,,,,,
37,TSHE,10.9,27.7,95,,,,,,,,
37,TSHE,5.6,14.1,95,,,,,,,,
37,TSHE,5.2,13.1,15,,,,,,,,
37,TSHE,4.6,11.8,95,,,,,,,,
37,TSHE,4.5,11.4,80,,,,,,,,
37,TSHE,3.5,8.9,0,5,,,,,,,1
37,TSHE,2.6,6.6,0,5,,,,,,,1
37,TSHE,2.5,6.4,90,,,,,,,,
37,TSHE,2.4,6.0,80,,,,,,,,
37,TSHE,2.3,5.8,0,5,,,,,,,1
37,TSHE,1.5,3.9,0,5,,,,,,,1
37,TSHE,1.1,2.7,0,1,,,,,,,1
38,CANO,45.4,115.2,80,,,,,,,,
38,CANO,33.5,85.2,100,,,,,,,,
38,TSHE,33.4,84.8,100,,,,,,,,
38,TSME,28.1,71.3,95,,,,,,,,
38,CANO,26.8,68.0,100,,,,,,,,
38,TSHE,23.8,60.5,95,,,,,,,,
38,UNK,23.5,59.8,0,5,2.1336,7,,,,1,1
38,CANO,23.1,58.8,80,,,,,,,,
38,CANO,21.9,55.6,85,,,,,,,,
38,PISI,18.6,47.3,80,,,,,,,,
38,CANO,15.0,38.2,85,,,,,,,,
38,CANO,13.3,33.7,60,,,,,,,,
38,TSHE,13.1,33.4,95,,,,,,,,
38,TSHE,13.1,33.2,95,,,,,,,,
38,PISI,12.3,31.2,75,,,,,,,,
38,CANO,11.7,29.6,80,,,,,,,,
38,TSHE,9.7,24.6,0,1,,,,,,,1
38,CANO,8.9,22.5,80,,,,,,,,
38,CANO,6.2,15.8,75,,,,,,,,
38,TSHE,5.2,13.3,90,,,,,,,,
38,TSME,5.0,12.8,95,,,,,,,,
38,TSME,4.7,11.9,95,,,,,,,,
38,TSHE,4.1,10.4,95,,,,,,,,
38,TSME,3.5,9.0,75,,,,,,,,
38,TSME,3.3,8.4,75,,,,,,,,
38,TSME,3.2,8.2,95,,,,,,,,
38,CANO,3.1,7.9,95,,,,,,,,
38,TSHE,2.5,6.4,80,,,,,,,,
38,UNK,1.9,4.7,0,1,,,,,,,1
38,UNK,1.8,4.5,0,5,,,,,,,1
38,UNK,1.6,4.1,0,1,,,,,,,1
38,UNK,1.5,3.9,0,1,,,,,,,1
38,UNK,1.5,3.9,0,1,,,,,,,1
38,UNK,1.5,3.8,0,5,,,,,,,1
38,TSHE,1.0,2.5,75,,,,,,,,
39,PISI,56.7,144.0,100,,,,,,,,
39,PISI,55.9,142.0,90,,,,,,,,
39,UNK,43.5,110.4,0,5,3.6576,12,,,,1,1
39,PISI,33.4,84.9,95,,,,,,,,
39,UNK,11.0,28.0,0,5,1.8288,6,,,,1,1
39,TSHE,9.9,25.1,100,,,,,,,,
39,TSHE,6.1,15.5,95,,,,,,,,
39,UNK,5.3,13.5,0,5,,,,,,,1
40,PISI,45.7,116.0,95,,,,,,,,
40,PISI,41.9,106.4,100,,,,,,,,
40,TSHE,28.7,73.0,90,,,,,,,,
40,TSHE,19.6,49.9,95,,,,,,,,
40,TSHE,18.9,48.1,100,,,,,,,,
40,CANO,18.3,46.6,0,5,,,-2,64,5,1,1
40,CANO,17.2,43.7,10,,,,,,,,
40,CANO,16.9,43.0,75,,,,,,,,
40,CANO,16.4,41.6,80,,,,,,,,
40,CANO,16.3,41.4,75,,,,,,,,
40,CANO,16.2,41.1,75,,,,,,,,
40,CANO,14.2,36.0,75,,,,,,,,
40,CANO,13.7,34.7,30,,,,,,,,
40,CANO,10.6,26.8,90,,,,,,,,
40,TSHE,9.5,24.1,0,1,,,,,,,1
40,CANO,8.5,21.7,95,,,,,,,,
40,TSHE,6.7,17.1,75,,,,,,,,
40,TSHE,5.9,14.9,90,,,,,,,,
40,TSHE,5.4,13.8,95,,,,,,,,
40,CANO,5.3,13.5,95,,,,,,,,
40,CANO,5.3,13.4,95,,,,,,,,
40,TSHE,4.5,11.5,95,,,,,,,,
40,CANO,3.9,9.8,95,,,,,,,,
40,CANO,3.7,9.5,20,,,,,,,,
40,CANO,3.5,9.0,95,,,,,,,,
40,TSHE,3.5,9.0,80,,,,,,,,
40,TSHE,3.5,8.9,60,,,,,,,,
40,TSHE,3.2,8.1,50,,,,,,,,
40,TSHE,3.1,7.8,95,,,,,,,,
40,TSHE,2.8,7.0,60,,,,,,,,
40,CANO,2.7,6.8,0,1,,,,,,,1
40,UNK,2.2,5.5,0,1,,,,,,,1
40,TSHE,2.1,5.4,20,,,,,,,,
40,UNK,1.6,4.0,0,1,,,,,,,1
40,UNK,1.5,3.8,0,1,,,,,,,1
40,UNK,1.3,3.4,0,1,,,,,,,1
40,UNK,1.3,3.3,0,1,,,,,,,1
40,TSHE,1.1,2.9,0,1,,,,,,,1
40,UNK,1.1,2.7,0,1,,,,,,,1
40,UNK,0.9,2.4,0,1,,,,,,,1
41,TSHE,62.0,157.6,0,5,,,-17,75,5,1,1
41,UNK,50.2,127.5,0,5,1.8288,6,,,,1,1
41,TSHE,46.5,118.0,0,5,,,-13,67,5,1,1
41,UNK,45.2,114.9,0,5,3.6576,12,,,,1,1
41,TSHE,39.2,99.5,95,,,,,,,,
41,TSHE,30.2,76.8,100,,,,,,,,
41,TSHE,25.4,64.6,80,,,,,,,,
41,TSHE,22.6,57.3,90,,,,,,,,
41,UNK,22.1,56.2,0,5,1.8288,6,,,,1,1
41,TSHE,19.5,49.5,95,,,,,,,,
41,TSHE,11.0,28.0,100,,,,,,,,
41,TSHE,9.0,22.8,80,,,,,,,,
41,TSHE,8.4,21.4,95,,,,,,,,
41,TSHE,7.4,18.8,95,,,,,,,,
41,TSHE,5.9,15.1,95,,,,,,,,
41,UNK,4.5,11.5,0,5,3.6576,12,,,,1,1
41,TSHE,3.6,9.2,90,,,,,,,,
41,TSHE,3.5,9.0,0,1,,,,,,,1
41,UNK,3.4,8.7,0,5,,,,,,,1
41,TSHE,3.3,8.4,95,,,,,,,,
41,UNK,3.3,8.3,0,5,,,,,,,1
41,TSHE,2.8,7.2,0,1,,,,,,,1
41,TSHE,2.8,7.1,0,1,,,,,,,1
41,TSHE,2.7,6.8,0,5,,,,,,,1
41,UNK,2.5,6.4,0,5,,,,,,,1
41,UNK,2.4,6.1,0,1,,,,,,,1
41,UNK,2.0,5.2,0,1,1.8288,6,,,,1,1
41,UNK,1.7,4.3,0,5,,,,,,,1
41,UNK,1.7,4.2,0,5,,,,,,,1
41,TSHE,1.5,3.8,0,1,,,,,,,1
41,UNK,1.4,3.6,0,5,1.8288,6,,,,1,1
41,TSHE,1.2,3.0,0,1,,,,,,,1
41,TSHE,0.5,1.2,0,1,,,,,,,1
42,PISI,66.8,169.6,90,,,,,,,,
42,PISI,66.2,168.1,90,,,,,,,,
42,PISI,65.4,166.0,95,,,,,,,,
42,PISI,64.8,164.7,100,,,,,,,,
42,PISI,40.1,101.9,90,,,,,,,,
42,TSHE,25.8,65.5,100,,,,,,,,
42,PISI,25.0,63.5,75,,,,,,,,
42,TSHE,20.1,51.0,95,,,,,,,,
42,UNK,18.9,47.9,0,5,,,,,,,1
42,PISI,17.8,45.1,0,5,,,,,,,1
42,PISI,12.7,32.3,100,,,,,,,,
42,TSHE,10.8,27.5,100,,,,,,,,
42,TSHE,10.5,26.7,90,,,,,,,,
42,TSHE,5.3,13.5,95,,,,,,,,
42,TSHE,5.3,13.5,95,,,,,,,,
42,UNK,2.6,6.6,0,5,,,,,,,1
42,TSHE,0.7,1.8,75,,,,,,,,
42,UNK,0.4,0.9,0,1,,,,,,,1
43,PISI,46.8,118.8,100,,,,,,,,
43,UNK,42.1,107.0,0,5,1.725168,5.66,,,,1,1
43,UNK,38.0,96.5,0,5,,,,,,,1
43,TSHE,31.6,80.3,0,5,,,,,,,1
43,TSHE,29.5,74.9,95,,,,,,,,
43,TSHE,25.7,65.3,0,5,,,,,,,1
43,TSHE,23.7,60.1,0,1,,,,,,,1
43,UNK,23.0,58.5,0,5,,,,,,,1
43,TSHE,22.9,58.1,70,,,,,,,,
43,TSHE,21.5,54.5,100,,,,,,,,
43,TSHE,19.2,48.8,100,,,,,,,,
43,TSHE,18.7,47.4,95,,,,,,,,
43,TSHE,18.4,46.8,100,,,,,,,,
43,UNK,16.1,40.8,0,5,1.8288,6,,,,1,1
43,TSHE,15.5,39.4,0,5,,,,,,,1
43,TSHE,14.8,37.5,90,,,,,,,,
43,UNK,13.9,35.4,0,5,1.8288,6,,,,1,1
43,UNK,11.9,30.2,0,5,1.8288,6,,,,1,1
43,TSHE,11.0,28.0,70,,,,,,,,
43,TSHE,10.2,25.9,100,,,,,,,,
43,UNK,9.1,23.2,0,5,,,,,,,1
43,TSHE,9.0,22.9,95,,,,,,,,
43,TSHE,7.7,19.5,100,,,,,,,,
43,TSHE,7.0,17.9,95,,,,,,,,
43,TSHE,7.0,17.8,95,,,,,,,,
43,UNK,6.4,16.2,0,5,1.6764,5.5,,,,1,1
43,TSHE,6.1,15.5,95,,,,,,,,
43,TSHE,5.3,13.5,95,,,,,,,,
43,TSHE,5.3,13.4,95,,,,,,,,
43,TSHE,4.6,11.8,80,,,,,,,,
43,TSHE,4.3,11.0,95,,,,,,,,
43,TSHE,4.1,10.4,0,1,,,,,,,1
43,TSHE,3.9,9.8,0,1,,,,,,,1
43,TSHE,3.6,9.1,0,1,,,,,,,1
43,TSHE,3.2,8.2,0,5,,,,,,,1
43,TSHE,3.0,7.6,0,1,,,,,,,1
43,TSHE,3.0,7.5,0,1,,,,,,,1
43,TSHE,3.0,7.5,50,,,,,,,,
43,TSHE,2.6,6.7,0,5,,,,,,,1
43,TSHE,2.4,6.1,0,5,,,,,,,1
43,TSHE,2.4,6.1,0,5,,,,,,,1
43,TSHE,2.4,6.0,0,1,,,,,,,1
43,TSHE,2.4,6.0,0,1,,,,,,,1
43,TSHE,2.2,5.5,0,5,,,,,,,1
43,TSHE,2.2,5.5,30,,,,,,,,
43,TSHE,2.0,5.2,0,5,,,,,,,1
43,TSHE,1.8,4.6,95,,,,,,,,
43,TSHE,1.8,4.5,0,1,,,,,,,1
43,TSHE,1.7,4.4,50,,,,,,,,
43,TSHE,1.4,3.5,0,1,,,,,,,1
43,TSHE,1.3,3.4,100,,,,,,,,
43,TSHE,1.3,3.3,80,,,,,,,,
43,TSHE,1.3,3.2,0,1,,,,,,,1
43,TSHE,1.1,2.8,100,,,,,,,,
43,TSHE,0.9,2.4,0,1,,,,,,,1
43,TSHE,0.8,2.0,0,2,,,,,,,1
43,UNK,0.7,1.8,0,2,,,,,,,1
43,PISI,0.4,1.1,95,,,,,,,,
44,TSHE,35.6,90.3,100,,,,,,,,
44,CANO,35.0,89.0,70,,,,,,,,
44,PISI,31.4,79.8,90,,,,,,,,
44,TSHE,30.4,77.1,100,,,,,,,,
44,TSHE,28.9,73.5,0,1,2.286,7.5,,,,1,1
44,TSHE,28.7,72.8,100,,,,,,,,
44,TSHE,26.9,68.4,80,,,,,,,,
44,TSHE,14.4,36.7,100,,,,,,,,
44,TSHE,10.4,26.3,95,,,,,,,,
44,TSHE,9.8,25.0,95,,,,,,,,
44,TSHE,9.8,24.8,0,5,,,,,,,1
44,TSHE,9.0,22.8,90,,,,,,,,
44,TSHE,9.0,22.8,100,,,,,,,,
44,TSHE,7.6,19.2,95,,,,,,,,
44,TSHE,7.0,17.9,95,,,,,,,,
44,TSHE,6.5,16.4,95,,,,,,,,
44,TSHE,6.0,15.3,95,,,,,,,,
44,TSHE,5.8,14.8,95,,,,,,,,
44,TSHE,5.6,14.3,0,1,1.8288,6,,,,1,1
44,TSHE,5.6,14.3,90,,,,,,,,
44,TSHE,5.5,14.0,90,,,,,,,,
44,TSHE,5.4,13.6,95,,,,,,,,
44,TSHE,5.2,13.2,75,,,,,,,,
44,TSHE,5.2,13.2,100,,,,,,,,
44,TSHE,4.7,11.9,0,5,2.7432,9,,,,1,1
44,TSHE,4.5,11.4,90,,,,,,,,
44,TSHE,4.4,11.1,95,,,,,,,,
44,TSHE,4.3,11.0,95,,,,,,,,
44,TSHE,4.2,10.7,0,5,,,,,,,1
44,TSHE,3.8,9.7,0,5,,,,,,,1
44,TSHE,3.6,9.1,95,,,,,,,,
44,TSHE,3.5,9.0,95,,,,,,,,
44,TSHE,3.5,8.9,0,5,3.6576,12,,,,1,1
44,TSHE,3.3,8.4,0,5,,,,,,,1
44,TSHE,3.3,8.4,75,,,,,,,,
44,TSHE,3.2,8.1,95,,,,,,,,
44,TSHE,3.1,7.9,95,,,,,,,,
44,TSHE,2.8,7.1,0,1,,,,,,,1
44,TSHE,2.6,6.6,80,,,,,,,,
44,TSHE,2.5,6.3,0,5,1.8288,6,,,,1,1
44,TSHE,2.5,6.3,0,1,,,,,,,1
44,TSHE,2.4,6.1,80,,,,,,,,
44,TSHE,2.4,6.0,0,5,,,,,,,1
44,UNK,2.2,5.7,0,5,,,,,,,1
44,TSHE,2.2,5.6,75,,,,,,,,
44,TSHE,2.1,5.4,0,1,,,,,,,1
44,TSHE,2.1,5.3,0,5,,,,,,,1
44,TSHE,2.1,5.3,75,,,,,,,,
44,TSHE,2.0,5.2,0,5,,,,,,,1
44,TSHE,2.0,5.1,0,1,,,,,,,1
44,TSHE,2.0,5.0,40,,,,,,,,
44,UNK,1.1,2.9,0,5,,,,,,,1